技能名,属性,类型,威力,耗能,效果描述,所属精灵,数据来源,备注
放晴,光系,变化,0,0,光系技能威力永久+40%，应对防御：改为永久+80%。,,用户提供,
漫反射,光系,变化,0,1,每种系别中的至多1个技能，威力+35。,,用户提供,
光之矛,光系,物攻,30,3,造成物伤，3连击。,,用户提供,
光刃,光系,物攻,120,4,对敌方精灵造成物理伤害。,,用户提供,
折线冲击,光系,物攻,80,2,对敌方精灵造成物理伤害。,,用户提供,
透射,光系,物攻,60,1,对敌方精灵造成物理伤害。,,用户提供,
闪光冲击,光系,物攻,100,3,对敌方精灵造成物理伤害。,,用户提供,
镜像反射,光系,防御,0,2,减伤80%，应对攻击：本技能变为被应对的技能。,,用户提供,
光球,光系,魔攻,80,2,对敌方精灵造成魔法伤害。,,用户提供,
天光,光系,魔攻,95,3,造成魔伤，本技能系别和天气系别相同。,,用户提供,
折射,光系,魔攻,50,4,造成魔伤，携带其他系别技能会给本技能带来不同效果。,,用户提供,
脉冲光线,光系,魔攻,40,0,对敌方精灵造成魔法伤害。,,用户提供,
虹光冲击,光系,魔攻,100,3,对敌方精灵造成魔法伤害。,,用户提供,
过曝,光系,魔攻,60,3,造成魔伤，每使用过1个其他系别技能，本技能威力永久+30。,,用户提供,
闪光,光系,魔攻,60,1,对敌方精灵造成魔法伤害。,,用户提供,
冬至,冰系,变化,0,7,将天气改为暴风雪。本技能能耗降低，降低值等于敌方技能总能耗。,,用户提供,
冰捆缚,冰系,变化,0,3,2连击，每次连击敌方获得全技能能耗+1。,,用户提供,
冰点,冰系,变化,0,2,敌方获得5层冻结，应对防御：额外获得5层。,,用户提供,
瞬间零度,冰系,变化,0,0,本回合敌方使用的技能能耗+3，应对防御：改为全技能能耗+3。,,用户提供,
速冻,冰系,变化,0,4,敌方获得2层减速印记。,,用户提供,
雪球,冰系,变化,0,1,敌方获得速度-90。,,用户提供,
雾气环绕,冰系,变化,0,1,回复能量，回复值等于敌方技能总能耗的一半。,,用户提供,
霜冻,冰系,变化,0,1,敌方获得魔防-100%。,,用户提供,
霜天,冰系,变化,0,4,敌方获得3层冻结，且每有1层冻结获得全技能能耗+1。,,用户提供,
霜降,冰系,变化,0,1,敌方获得4层冻结。,,用户提供,
丢冰块,冰系,物攻,80,3,造成物伤，敌方获得速度-30。,,用户提供,
冰晶坠,冰系,物攻,90,4,造成物伤，敌方获得全技能能耗+1。,,用户提供,
冰爪,冰系,物攻,80,2,对敌方精灵造成物理伤害。,,用户提供,
冰锥,冰系,物攻,40,0,对敌方精灵造成物理伤害。,,用户提供,
冰雹,冰系,物攻,100,4,造成物伤，应对状态：额外使敌方获得全技能能耗+3。,,用户提供,
暴风雪,冰系,物攻,85,3,造成物伤，敌方获得1层冻结。,,用户提供,
